# f (Hz), Re{G(jw)}, Im{G(jw)}
67.00000000,0.00116632,-0.01969735
67.10000000,0.00105057,-0.01977096
67.20000000,0.00095909,-0.01967759
67.30000000,0.00098520,-0.01969107
67.40000000,0.00078159,-0.01956244
67.50000000,0.00084166,-0.01949397
67.60000000,0.00078061,-0.01947699
67.70000000,0.00076804,-0.01936755
67.80000000,0.00076481,-0.01928185
67.90000000,0.00081335,-0.01908540
68.00000000,0.00090768,-0.01907524
68.10000000,0.00097912,-0.01901451
68.20000000,0.00101814,-0.01900230
68.30000000,0.00106024,-0.01900569
68.40000000,0.00114451,-0.01909045
68.50000000,0.00106542,-0.01910777
68.60000000,0.00110096,-0.01902958
68.70000000,0.00116803,-0.01920602
68.80000000,0.00099528,-0.01920460
68.90000000,0.00100289,-0.01914016
69.00000000,0.00098760,-0.01916170
69.10000000,0.00087695,-0.01913125
69.20000000,0.00080541,-0.01903809
69.30000000,0.00072659,-0.01905845
69.40000000,0.00055855,-0.01902085
69.50000000,0.00070378,-0.01884701
69.60000000,0.00077350,-0.01870097
69.70000000,0.00074769,-0.01863830
69.80000000,0.00071733,-0.01849121
69.90000000,0.00085011,-0.01855196
70.00000000,0.00090591,-0.01838249
70.10000000,0.00090408,-0.01841440
70.20000000,0.00099300,-0.01847597
70.30000000,0.00104432,-0.01849507
70.40000000,0.00110554,-0.01851891
70.50000000,0.00099497,-0.01859808
70.60000000,0.00102092,-0.01857551
70.70000000,0.00091502,-0.01863507
70.80000000,0.00091021,-0.01861810
70.90000000,0.00091097,-0.01887722
71.00000000,0.00076375,-0.01872597
71.10000000,0.00075054,-0.01853775
71.20000000,0.00073043,-0.01852632
71.30000000,0.00065556,-0.01847125
71.40000000,0.00058869,-0.01836023
71.50000000,0.00065055,-0.01823082
71.60000000,0.00056210,-0.01823153
71.70000000,0.00060047,-0.01811474
71.80000000,0.00067767,-0.01800937
71.90000000,0.00075088,-0.01800849
72.00000000,0.00078070,-0.01797814
72.10000000,0.00097943,-0.01796802
72.20000000,0.00096049,-0.01784489
72.30000000,0.00096544,-0.01788565
72.40000000,0.00094829,-0.01783860
72.50000000,0.00100842,-0.01805894
72.60000000,0.00099890,-0.01803803
72.70000000,0.00091968,-0.01818198
72.80000000,0.00097746,-0.01807931
72.90000000,0.00096503,-0.01808967
73.00000000,0.00073932,-0.01811156
73.10000000,0.00080094,-0.01808275
73.20000000,0.00060213,-0.01804575
73.30000000,0.00058784,-0.01807197
73.40000000,0.00074221,-0.01784653
73.50000000,0.00062042,-0.01789346
